/usr/sbin/mysqld, Version: 10.3.29-MariaDB-0+deb10u1-log (Debian 10). started with:
Tcp port: 3306  Unix socket: (null)
Time		    Id Command	Argument
210720 13:02:16	     8 Connect	root@localhost as anonymous on 
		     8 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		     9 Connect	root@localhost as anonymous on 
		     9 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    10 Connect	root@localhost as anonymous on mysql
		    10 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    11 Connect	root@localhost as anonymous on mysql
		    11 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    12 Connect	root@localhost as anonymous on 
		    12 Connect	Access denied for user 'root'@'localhost' (using password: NO)
210720 13:02:22	    13 Connect	root@localhost as anonymous on 
		    13 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    14 Connect	root@localhost as anonymous on 
		    14 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    15 Connect	root@localhost as anonymous on 
		    15 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    16 Connect	root@localhost as anonymous on 
		    16 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    17 Connect	root@localhost as anonymous on 
		    17 Connect	Access denied for user 'root'@'localhost' (using password: NO)
		    18 Connect	root@localhost as anonymous on 
		    18 Connect	Access denied for user 'root'@'localhost' (using password: NO)
